train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.8M
epoch 67/1000, train: loss=0.0347, val: psnr=29.6508, 2.4m 2.7h/40.8h
epoch 68/1000, train: loss=0.0346, val: psnr=29.8954, 2.5m 2.8h/40.8h
epoch 69/1000, train: loss=0.0344, val: psnr=29.5949, 2.4m 2.8h/40.8h
epoch 70/1000, train: loss=0.0345, val: psnr=29.7437, 2.4m 2.9h/40.8h
epoch 71/1000, train: loss=0.0340, val: psnr=29.5536, 2.4m 2.9h/40.8h
epoch 72/1000, train: loss=0.0344, val: psnr=29.7289, 2.5m 2.9h/40.9h
epoch 73/1000, train: loss=0.0346, val: psnr=29.9967, 2.4m 3.0h/40.9h
epoch 74/1000, train: loss=0.0338, val: psnr=29.6769, 2.4m 3.0h/40.8h
epoch 75/1000, train: loss=0.0339, val: psnr=29.6236, 2.4m 3.1h/40.8h
epoch 76/1000, train: loss=0.0338, val: psnr=29.4823, 2.4m 3.1h/40.8h
epoch 77/1000, train: loss=0.0346, val: psnr=29.6910, 2.5m 3.1h/40.8h
epoch 78/1000, train: loss=0.0339, val: psnr=29.5703, 2.4m 3.2h/40.8h
epoch 79/1000, train: loss=0.0341, val: psnr=29.5423, 2.4m 3.2h/40.8h
epoch 80/1000, train: loss=0.0335, val: psnr=29.6102, 2.4m 3.3h/40.8h
epoch 81/1000, train: loss=0.0342, val: psnr=29.8268, 2.5m 3.3h/40.8h
epoch 82/1000, train: loss=0.0342, val: psnr=29.6216, 2.5m 3.3h/40.9h
epoch 83/1000, train: loss=0.0338, val: psnr=29.6460, 2.5m 3.4h/40.9h
epoch 84/1000, train: loss=0.0341, val: psnr=29.5228, 2.5m 3.4h/40.9h
epoch 85/1000, train: loss=0.0340, val: psnr=29.3374, 2.4m 3.5h/40.9h
epoch 86/1000, train: loss=0.0338, val: psnr=29.6324, 2.4m 3.5h/40.9h
epoch 87/1000, train: loss=0.0341, val: psnr=29.6046, 2.4m 3.6h/40.8h
epoch 88/1000, train: loss=0.0337, val: psnr=29.8979, 2.4m 3.6h/40.8h
epoch 89/1000, train: loss=0.0336, val: psnr=29.6986, 2.4m 3.6h/40.8h
epoch 90/1000, train: loss=0.0338, val: psnr=29.1724, 2.4m 3.7h/40.8h
