train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=2.7M
epoch 67/1000, train: loss=0.0343, val: psnr=29.5949, 6.8m 8.4h/125.6h
epoch 68/1000, train: loss=0.0340, val: psnr=29.5421, 7.6m 8.5h/125.6h
epoch 69/1000, train: loss=0.0345, val: psnr=29.5448, 7.6m 8.7h/125.7h
epoch 70/1000, train: loss=0.0340, val: psnr=29.9805, 7.7m 8.8h/125.7h
epoch 71/1000, train: loss=0.0344, val: psnr=29.7731, 7.7m 8.9h/125.7h
epoch 72/1000, train: loss=0.0344, val: psnr=29.6767, 7.7m 9.1h/125.8h
epoch 73/1000, train: loss=0.0340, val: psnr=29.5419, 7.1m 9.2h/125.7h
epoch 74/1000, train: loss=0.0343, val: psnr=29.6129, 7.5m 9.3h/125.6h
epoch 75/1000, train: loss=0.0343, val: psnr=29.5237, 7.7m 9.4h/125.7h
epoch 76/1000, train: loss=0.0343, val: psnr=29.5275, 7.6m 9.6h/125.7h
epoch 77/1000, train: loss=0.0339, val: psnr=29.6810, 7.7m 9.7h/125.7h
epoch 78/1000, train: loss=0.0341, val: psnr=29.7357, 7.7m 9.8h/125.7h
epoch 79/1000, train: loss=0.0335, val: psnr=29.4709, 7.6m 9.9h/125.7h
epoch 80/1000, train: loss=0.0339, val: psnr=29.3767, 7.1m 10.1h/125.6h
epoch 81/1000, train: loss=0.0342, val: psnr=29.5069, 7.7m 10.2h/125.7h
epoch 82/1000, train: loss=0.0339, val: psnr=29.6444, 7.7m 10.3h/125.7h
epoch 83/1000, train: loss=0.0341, val: psnr=29.8475, 7.7m 10.4h/125.7h
epoch 84/1000, train: loss=0.0337, val: psnr=29.5115, 7.7m 10.6h/125.7h
epoch 85/1000, train: loss=0.0337, val: psnr=29.8815, 7.7m 10.7h/125.8h
epoch 86/1000, train: loss=0.0340, val: psnr=29.3719, 6.9m 10.8h/125.7h
epoch 87/1000, train: loss=0.0338, val: psnr=29.6654, 7.6m 10.9h/125.7h
epoch 88/1000, train: loss=0.0342, val: psnr=29.3970, 7.6m 11.1h/125.7h
epoch 89/1000, train: loss=0.0341, val: psnr=29.3988, 7.6m 11.2h/125.7h
epoch 90/1000, train: loss=0.0336, val: psnr=29.4491, 7.6m 11.3h/125.7h
epoch 91/1000, train: loss=0.0335, val: psnr=29.6651, 7.6m 11.4h/125.7h
epoch 92/1000, train: loss=0.0335, val: psnr=29.7175, 6.8m 11.6h/125.6h
epoch 93/1000, train: loss=0.0339, val: psnr=29.6889, 7.6m 11.7h/125.6h
epoch 94/1000, train: loss=0.0339, val: psnr=29.5329, 7.6m 11.8h/125.6h
epoch 95/1000, train: loss=0.0342, val: psnr=29.4483, 7.6m 11.9h/125.7h
epoch 96/1000, train: loss=0.0339, val: psnr=30.0035, 7.7m 12.1h/125.7h
epoch 97/1000, train: loss=0.0333, val: psnr=29.6396, 7.7m 12.2h/125.7h
epoch 98/1000, train: loss=0.0336, val: psnr=29.3306, 6.9m 12.3h/125.6h
epoch 99/1000, train: loss=0.0335, val: psnr=29.8460, 7.7m 12.4h/125.6h
epoch 100/1000, train: loss=0.0339, val: psnr=29.5852, 7.7m 12.6h/125.6h
epoch 101/1000, train: loss=0.0337, val: psnr=30.0342, 7.6m 12.7h/125.6h
epoch 102/1000, train: loss=0.0333, val: psnr=30.1736, 7.7m 12.8h/125.7h
epoch 103/1000, train: loss=0.0335, val: psnr=29.7189, 7.7m 12.9h/125.7h
epoch 104/1000, train: loss=0.0336, val: psnr=30.0216, 6.9m 13.1h/125.6h
epoch 105/1000, train: loss=0.0333, val: psnr=29.8807, 7.6m 13.2h/125.6h
epoch 106/1000, train: loss=0.0338, val: psnr=29.7449, 7.6m 13.3h/125.6h
epoch 107/1000, train: loss=0.0339, val: psnr=30.0949, 7.6m 13.4h/125.6h
epoch 108/1000, train: loss=0.0337, val: psnr=29.6257, 7.6m 13.6h/125.6h
