train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 67/1000, train: loss=0.0334, val: psnr=29.7047, 2.2m 2.4h/36.5h
epoch 68/1000, train: loss=0.0334, val: psnr=29.4021, 2.2m 2.5h/36.5h
epoch 69/1000, train: loss=0.0337, val: psnr=29.9080, 2.2m 2.5h/36.5h
epoch 70/1000, train: loss=0.0336, val: psnr=29.7111, 2.2m 2.6h/36.5h
epoch 71/1000, train: loss=0.0328, val: psnr=29.5953, 2.2m 2.6h/36.5h
epoch 72/1000, train: loss=0.0334, val: psnr=29.5561, 2.2m 2.6h/36.5h
epoch 73/1000, train: loss=0.0333, val: psnr=29.8293, 2.2m 2.7h/36.5h
epoch 74/1000, train: loss=0.0332, val: psnr=29.9830, 2.2m 2.7h/36.5h
epoch 75/1000, train: loss=0.0336, val: psnr=29.4266, 2.2m 2.7h/36.5h
epoch 76/1000, train: loss=0.0335, val: psnr=29.9560, 2.2m 2.8h/36.5h
epoch 77/1000, train: loss=0.0333, val: psnr=29.8751, 2.2m 2.8h/36.5h
epoch 78/1000, train: loss=0.0333, val: psnr=29.5582, 2.2m 2.8h/36.5h
epoch 79/1000, train: loss=0.0331, val: psnr=29.6758, 2.2m 2.9h/36.5h
epoch 80/1000, train: loss=0.0337, val: psnr=29.6532, 2.2m 2.9h/36.5h
epoch 81/1000, train: loss=0.0334, val: psnr=29.7602, 2.2m 3.0h/36.5h
epoch 82/1000, train: loss=0.0330, val: psnr=29.9775, 2.2m 3.0h/36.5h
epoch 83/1000, train: loss=0.0337, val: psnr=29.8541, 2.2m 3.0h/36.5h
epoch 84/1000, train: loss=0.0330, val: psnr=29.6083, 2.2m 3.1h/36.5h
epoch 85/1000, train: loss=0.0330, val: psnr=30.3446, 2.2m 3.1h/36.5h
